layer_name;method;run0;run1;run2;run3;run4;mean;median
model.model.layers.12.self_attn.q_proj;Sputnik;0.130048006772995;0.13212800025939941;0.130048006772995;0.130048006772995;0.130048006772995;0.13046400249004364;0.130048006772995
model.model.layers.12.self_attn.q_proj;Ours;0.12601600587368011;0.12783999741077423;0.12403199821710587;0.12492799758911133;0.12390399724245071;0.12534400820732117;0.12492799758911133
model.model.layers.12.self_attn.k_proj;Sputnik;0.13817599415779114;0.1372160017490387;0.1382399946451187;0.1382399946451187;0.1372160017490387;0.1378175914287567;0.13817599415779114
model.model.layers.12.self_attn.k_proj;Ours;0.13529600203037262;0.13631999492645264;0.13619199395179749;0.1372160017490387;0.13619199395179749;0.13624319434165955;0.13619199395179749
model.model.layers.12.self_attn.v_proj;Sputnik;0.14028799533843994;0.14028799533843994;0.13926400244235992;0.13926400244235992;0.13926400244235992;0.13967359066009521;0.13926400244235992
model.model.layers.12.self_attn.v_proj;Ours;0.09011200070381165;0.08908800035715103;0.09110400080680847;0.09033600240945816;0.09011200070381165;0.09015040099620819;0.09011200070381165
model.model.layers.12.self_attn.o_proj;Sputnik;0.15667200088500977;0.15667200088500977;0.15667200088500977;0.15667200088500977;0.15564799308776855;0.15646719932556152;0.15667200088500977
model.model.layers.12.self_attn.o_proj;Ours;0.1157120019197464;0.11673600226640701;0.11574400216341019;0.1157120019197464;0.11654400080442429;0.1160895973443985;0.11574400216341019
model.model.layers.12.mlp.gate_proj;Sputnik;0.4362240135669708;0.43724799156188965;0.43724799156188965;0.43724799156188965;0.43724799156188965;0.4370431900024414;0.43724799156188965
model.model.layers.12.mlp.gate_proj;Ours;0.30617600679397583;0.30432000756263733;0.3041279911994934;0.30617600679397583;0.30527999997138977;0.305215984582901;0.30527999997138977
model.model.layers.12.mlp.up_proj;Sputnik;0.41574400663375854;0.41574400663375854;0.41574400663375854;0.41574400663375854;0.4177919924259186;0.41615360975265503;0.41574400663375854
model.model.layers.12.mlp.up_proj;Ours;0.317440003156662;0.317440003156662;0.31830400228500366;0.319487988948822;0.31839999556541443;0.31821441650390625;0.31830400228500366
model.model.layers.12.mlp.down_proj;Sputnik;0.4185599982738495;0.4189760088920593;0.41974401473999023;0.4176959991455078;0.4177919924259186;0.41855359077453613;0.4185599982738495
model.model.layers.12.mlp.down_proj;Ours;0.27750399708747864;0.27849599719047546;0.2783679962158203;0.2764799892902374;0.2754560112953186;0.27726081013679504;0.27750399708747864
model.model.layers.13.self_attn.q_proj;Sputnik;0.12800000607967377;0.13023999333381653;0.12787200510501862;0.12787200510501862;0.12697599828243256;0.1281919926404953;0.12787200510501862
model.model.layers.13.self_attn.q_proj;Ours;0.11366400122642517;0.11446399986743927;0.11776000261306763;0.11459200084209442;0.11468800157308578;0.1150336042046547;0.11459200084209442
model.model.layers.13.self_attn.k_proj;Sputnik;0.1250240057706833;0.12595200538635254;0.12492799758911133;0.12492799758911133;0.12585599720478058;0.1253376007080078;0.1250240057706833
model.model.layers.13.self_attn.k_proj;Ours;0.1228799968957901;0.12800000607967377;0.12595200538635254;0.12185599654912949;0.12390399724245071;0.12451839447021484;0.12390399724245071
model.model.layers.13.self_attn.v_proj;Sputnik;0.1404159963130951;0.14051200449466705;0.14115199446678162;0.14131200313568115;0.14028799533843994;0.14073601365089417;0.14051200449466705
model.model.layers.13.self_attn.v_proj;Ours;0.09612800180912018;0.09827200323343277;0.09625600278377533;0.09830400347709656;0.09728000313043594;0.09724800288677216;0.09728000313043594
model.model.layers.13.self_attn.o_proj;Sputnik;0.15775999426841736;0.158720001578331;0.15769599378108978;0.15769599378108978;0.15769599378108978;0.15791359543800354;0.15769599378108978
model.model.layers.13.self_attn.o_proj;Ours;0.11161600053310394;0.1117440015077591;0.11343999952077866;0.1125119999051094;0.11363200098276138;0.1125888079404831;0.1125119999051094
model.model.layers.13.mlp.gate_proj;Sputnik;0.4208639860153198;0.42003199458122253;0.42188799381256104;0.4208639860153198;0.419840008020401;0.4206975996494293;0.4208639860153198
model.model.layers.13.mlp.gate_proj;Ours;0.2764799892902374;0.27750399708747864;0.27852800488471985;0.27852800488471985;0.2744320034980774;0.27709439396858215;0.27750399708747864
model.model.layers.13.mlp.up_proj;Sputnik;0.40959998965263367;0.40857601165771484;0.4094719886779785;0.40959998965263367;0.40857601165771484;0.40916481614112854;0.4094719886779785
model.model.layers.13.mlp.up_proj;Ours;0.2970240116119385;0.2979840040206909;0.2949120104312897;0.2959359884262085;0.2969599962234497;0.29656320810317993;0.2969599962234497
model.model.layers.13.mlp.down_proj;Sputnik;0.4034560024738312;0.4577920138835907;0.40163201093673706;0.42585599422454834;0.4025920033454895;0.4182656407356262;0.4034560024738312
model.model.layers.13.mlp.down_proj;Ours;0.2467840015888214;0.24268800020217896;0.24268800020217896;0.24275200068950653;0.24454399943351746;0.24389119446277618;0.24275200068950653
model.model.layers.14.self_attn.q_proj;Sputnik;0.131071999669075;0.13327999413013458;0.13020800054073334;0.131071999669075;0.131071999669075;0.13134080171585083;0.131071999669075
