layer_name;empty_rows_perc;empty_cols_perc;max_empty_perc;sparsity_perc;rows;cols
model.model.layers.5.self_attn.q_proj;34.27734375;0.0244140625;34.27734375;0.5999982357025146;4096;4096
model.model.layers.5.self_attn.k_proj;33.49609375;0.0244140625;33.49609375;0.5999982357025146;4096;4096
model.model.layers.5.self_attn.v_proj;0.390625;0.146484375;0.390625;0.5999982357025146;4096;4096
model.model.layers.5.self_attn.o_proj;0.0;60.9375;60.9375;0.5999982357025146;4096;4096
model.model.layers.5.mlp.gate_proj;35.60137939453125;0.0;35.60137939453125;0.5999986515488736;11008;4096
model.model.layers.5.mlp.up_proj;22.311046600341797;0.0;22.311046600341797;0.5999986515488736;11008;4096
model.model.layers.5.mlp.down_proj;0.0;27.952396392822266;27.952396392822266;0.5999986515488736;4096;11008
model.model.layers.6.self_attn.q_proj;36.62109375;0.0244140625;36.62109375;0.5999982357025146;4096;4096
model.model.layers.6.self_attn.k_proj;35.05859375;0.0244140625;35.05859375;0.5999982357025146;4096;4096
model.model.layers.6.self_attn.v_proj;0.244140625;17.578125;17.578125;0.5999982357025146;4096;4096
model.model.layers.6.self_attn.o_proj;0.0244140625;39.3310546875;39.3310546875;0.5999982357025146;4096;4096
model.model.layers.6.mlp.gate_proj;43.713661193847656;0.0;43.713661193847656;0.5999986515488736;11008;4096
model.model.layers.6.mlp.up_proj;25.09992790222168;0.0;25.09992790222168;0.5999986515488736;11008;4096
model.model.layers.6.mlp.down_proj;0.0;32.667152404785156;32.667152404785156;0.5999986515488736;4096;11008
model.model.layers.7.self_attn.q_proj;40.771484375;0.0244140625;40.771484375;0.5999982357025146;4096;4096
model.model.layers.7.self_attn.k_proj;35.7666015625;0.048828125;35.7666015625;0.5999982357025146;4096;4096
model.model.layers.7.self_attn.v_proj;0.439453125;25.3173828125;25.3173828125;0.5999982357025146;4096;4096
model.model.layers.7.self_attn.o_proj;0.341796875;44.4580078125;44.4580078125;0.5999982357025146;4096;4096
model.model.layers.7.mlp.gate_proj;32.15843200683594;0.0;32.15843200683594;0.5999986515488736;11008;4096
model.model.layers.7.mlp.up_proj;14.60755729675293;0.0;14.60755729675293;0.5999986515488736;11008;4096
model.model.layers.7.mlp.down_proj;0.0;28.479286193847656;28.479286193847656;0.5999986515488736;4096;11008
model.model.layers.8.self_attn.q_proj;29.5166015625;0.0244140625;29.5166015625;0.5999982357025146;4096;4096
model.model.layers.8.self_attn.k_proj;27.783203125;0.0244140625;27.783203125;0.5999982357025146;4096;4096
model.model.layers.8.self_attn.v_proj;0.3173828125;17.3828125;17.3828125;0.5999982357025146;4096;4096
model.model.layers.8.self_attn.o_proj;0.4150390625;41.30859375;41.30859375;0.5999982357025146;4096;4096
model.model.layers.8.mlp.gate_proj;27.280160903930664;0.0;27.280160903930664;0.5999986515488736;11008;4096
model.model.layers.8.mlp.up_proj;14.289607048034668;0.0;14.289607048034668;0.5999986515488736;11008;4096
