Model Name;Maximum Empty Rows (%);Maximum Empty Column (%);Mean Maximum Empty Row or Column
restart_7b-gsm8k-rosa_wl64_d0.003_1grads_mean_r24_loralr0.0003_alpha16-lr0.0003-epochs1-wu20-seed42-8466;97.90625;96.6842296511628;61.33925660125973
restart_7b-sql-rosa_wl64_d0.0045_1grads_mean_r4_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-26804;97.8625;95.63045058139535;54.25224903100776
restart_7b-gsm8k-rosa_wl64_d0.003_1grads_mean_r24_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-11622;97.87812500000001;96.78415697674419;58.85111026324289
restart_7b-gsm8k-rosa_wl64_d0.012_1grads_mean_r32_loralr0.0007_alpha16-lr0.0003-epochs2-wu20-seed42-22854;96.465625;84.36591569767442;27.350590923772604
restart_7b-gsm8k-rosa_wl64_d0.003_32grads_mean_r8_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-11485;92.15;96.82957848837209;56.43081029958011
restart_7b-sql-rosa_wl64_d0.003_1grads_mean_r8_loralr0.0002_alpha16-lr0.0002-epochs1-wu20-seed42-17871;98.79375;96.5576171875;67.05042912225451
restart_7b-sql-rosa_wl64_d0.006_1grads_mean_r48_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-13464;96.59375;94.86736918604652;54.14482810481268
restart_7b-sql-rosa_wl64_d0.009_1grads_mean_r8_loralr0.0003_alpha16-lr0.0003-epochs1-wu20-seed42-446;94.496875;87.78161337209302;43.11772109173126
restart_7b-gsm8k-rosa_wl64_d0.012_32grads_mean_squared_r32_loralr0.0007_alpha16-lr0.0004-epochs1-wu20-seed42-28138;89.62187499999999;84.79287790697676;25.838814740794568
restart_7b-gsm8k-rosa_wl64_d0.006_32grads_mean_squared_r16_loralr0.0007_alpha16-lr0.0004-epochs1-wu20-seed42-11810;90.790625;93.40479651162791;39.43100399709301
restart_7b-sql-rosa_wl64_d0.0015_1grads_mean_r12_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-10316;99.15625;98.14680232558139;76.6001088097545
restart_7b-gsm8k-rosa_wl64_d0.012_32grads_mean_r32_loralr0.0007_alpha16-lr0.0002-epochs1-wu20-seed42-3682;89.62187499999999;84.79287790697676;25.838814740794568
restart_7b-gsm8k-rosa_wl64_d0.003_1grads_mean_r8_loralr0.0003_alpha16-lr0.0003-epochs1-wu20-seed42-11598;97.93125;97.265625;59.04462752341732
restart_7b-viggo-rosa_wl64_d0.009_1grads_mean_r8_loralr0.0002_alpha16-lr0.0002-epochs1-wu20-seed42-9226;95.478125;89.14425872093024;37.98906530604005
restart_7b-sql-rosa_wl64_d0.009_1grads_mean_r8_loralr0.0002_alpha16-lr0.0002-epochs3-wu20-seed42-14633;94.803125;86.328125;44.22763961563307
restart_7b-viggo-rosa_wl64_d0.003_1grads_mean_r24_loralr0.0001_alpha16-lr0.0001-epochs3-wu20-seed42-7501;98.7625;97.35646802325581;61.42004909560725
restart_7b-viggo-rosa_wl64_d0.006_1grads_mean_r48_loralr0.0001_alpha16-lr0.0001-epochs3-wu20-seed42-30017;96.584375;90.9423828125;47.2075236393734
restart_7b-gsm8k-rosa_wl64_d0.012_1grads_mean_r32_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-2757;96.46875;85.0109011627907;27.128660166343668
restart_7b-gsm8k-rosa_wl64_d0.006_8grads_mean_r16_loralr0.0007_alpha16-lr0.0002-epochs1-wu20-seed42-12685;94.425;88.90806686046511;41.137765624999986
restart_7b-gsm8k-rosa_wl64_d0.006_1grads_mean_r16_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-19402;97.496875;93.79542151162791;41.442514777131784
restart_7b-viggo-rosa_wl64_d0.009_1grads_mean_r8_loralr0.0001_alpha16-lr0.0001-epochs1-wu20-seed42-14052;95.496875;86.7431640625;38.52435535771963
restart_7b-sql-rosa_wl64_d0.003_1grads_mean_r24_loralr0.0004_alpha16-lr0.0004-epochs1-wu20-seed42-9868;98.565625;96.875;64.63351820897932
restart_7b-sql-rosa_wl64_d0.0015_1grads_mean_r12_loralr0.0003_alpha16-lr0.0003-epochs1-wu20-seed42-3536;99.253125;98.8525390625;78.91129316052972
restart_7b-sql-rosa_wl64_d0.018_1grads_mean_r16_loralr0.0004_alpha16-lr0.0004-epochs1-wu20-seed42-9632;86.875;80.06904069767442;29.748314861918608
restart_7b-gsm8k-rosa_wl64_d0.006_32grads_mean_squared_r16_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-7039;90.790625;93.40479651162791;39.43100399709301
restart_7b-gsm8k-rosa_wl64_d0.003_1grads_mean_r8_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-17739;97.85625;96.7296511627907;58.308501029554265
restart_7b-sql-rosa_wl64_d0.006_1grads_mean_r48_loralr0.0004_alpha16-lr0.0004-epochs1-wu20-seed42-1806;96.565625;94.10428779069767;48.84315473594962
restart_7b-gsm8k-rosa_wl64_d0.006_32grads_mean_r16_loralr0.0007_alpha16-lr0.0004-epochs1-wu20-seed42-20909;90.790625;93.40479651162791;39.43100399709301
restart_7b-sql-rosa_wl64_d0.009_1grads_mean_r8_loralr0.0001_alpha16-lr0.0001-epochs1-wu20-seed42-27852;95.321875;87.2802734375;41.25707695413438
restart_7b-gsm8k-rosa_wl64_d0.006_1grads_mean_r48_loralr0.0007_alpha16-lr0.0004-epochs3-wu20-seed42-26531;97.478125;93.64098837209302;42.155569363695086
restart_7b-gsm8k-rosa_wl64_d0.0015_1grads_mean_r12_loralr0.0003_alpha16-lr0.0003-epochs1-wu20-seed42-3011;98.1875;98.876953125;74.01997961078813
restart_7b-viggo-rosa_wl64_d0.003_1grads_mean_r24_loralr0.0002_alpha16-lr0.0002-epochs1-wu20-seed42-29839;98.9375;96.90225290697676;62.491086381621436
restart_7b-viggo-rosa_wl64_d0.003_1grads_mean_r8_loralr0.0001_alpha16-lr0.0001-epochs1-wu20-seed42-29584;98.89375;96.45712209302324;62.200285105781624
restart_7b-sql-rosa_wl64_d0.006_1grads_mean_r48_loralr0.0003_alpha16-lr0.0003-epochs1-wu20-seed42-31775;96.796875;92.1142578125;52.27688802083332
restart_7b-gsm8k-rosa_wl64_d0.0045_1grads_mean_r4_loralr0.0007_alpha16-lr0.0003-epochs3-wu20-seed42-32632;97.6375;95.56686046511628;48.99237921915375
restart_7b-gsm8k-rosa_wl64_d0.003_8grads_mean_squared_r8_loralr0.0007_alpha16-lr0.0004-epochs1-wu20-seed42-16268;95.075;96.484375;58.53463061208011
restart_7b-gsm8k-rosa_wl64_d0.012_8grads_mean_squared_r32_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-27538;93.58125000000001;83.15770348837209;27.22005658510982
restart_7b-gsm8k-rosa_wl64_d0.018_1grads_mean_r16_loralr0.0007_alpha16-lr0.0003-epochs3-wu20-seed42-9578;94.796875;79.94186046511628;19.60347232315891
restart_7b-sql-rosa_wl64_d0.012_1grads_mean_r32_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-23005;91.715625;86.27361918604652;33.19878950662144
restart_7b-gsm8k-rosa_wl64_d0.0015_1grads_mean_r12_loralr0.0007_alpha16-lr0.0004-epochs1-wu20-seed42-23760;98.1875;98.974609375;73.49661276647288
restart_7b-sql-rosa_wl64_d0.003_1grads_mean_r24_loralr0.0002_alpha16-lr0.0002-epochs3-wu20-seed42-2297;98.69687499999999;96.47529069767442;70.1627625161499
restart_7b-sql-rosa_wl64_d0.012_1grads_mean_r32_loralr0.0003_alpha16-lr0.0003-epochs1-wu20-seed42-3432;91.828125;84.04796511627907;38.746343669250656
restart_7b-gsm8k-rosa_wl64_d0.006_1grads_mean_r48_loralr0.0007_alpha16-lr0.0003-epochs2-wu20-seed42-26983;97.48750000000001;93.51380813953489;43.156254501776495
restart_7b-viggo-rosa_wl64_d0.003_1grads_mean_r8_loralr0.0001_alpha16-lr0.0001-epochs3-wu20-seed42-19367;99.009375;97.28379360465115;61.46315869266795
restart_7b-gsm8k-rosa_wl64_d0.003_1grads_mean_squared_r8_loralr0.0007_alpha16-lr0.0004-epochs1-wu20-seed42-30819;97.85625;96.7296511627907;58.308501029554265
restart_7b-sql-rosa_wl64_d0.006_1grads_mean_r48_loralr0.0001_alpha16-lr0.0001-epochs1-wu20-seed42-19689;97.271875;92.626953125;49.70756371124032
restart_7b-gsm8k-rosa_wl64_d0.018_1grads_mean_r16_loralr0.0003_alpha16-lr0.0003-epochs1-wu20-seed42-13965;94.575;80.39607558139535;19.909063751614987
restart_7b-sql-rosa_wl64_d0.0045_1grads_mean_r4_loralr0.0002_alpha16-lr0.0002-epochs3-wu20-seed42-28244;98.059375;96.2158203125;58.366569303133105
restart_7b-gsm8k-rosa_wl64_d0.006_1grads_mean_r48_loralr0.0007_alpha16-lr0.0004-epochs1-wu20-seed42-15342;97.5;94.03161337209302;40.94162275920544
restart_7b-gsm8k-rosa_wl64_d0.012_8grads_mean_r32_loralr0.0007_alpha16-lr0.0004-epochs1-wu20-seed42-29155;93.58125000000001;83.15770348837209;27.22005658510982
restart_7b-gsm8k-rosa_wl64_d0.003_1grads_mean_squared_r8_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-11902;97.85625;96.7296511627907;58.308501029554265
restart_7b-sql-rosa_wl64_d0.012_1grads_mean_r32_loralr0.0002_alpha16-lr0.0002-epochs1-wu20-seed42-25039;92.259375;83.71184593023256;39.42660537790699
restart_7b-gsm8k-rosa_wl64_d0.012_1grads_mean_squared_r32_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-17832;96.46875;85.0109011627907;27.128660166343668
restart_7b-sql-rosa_wl64_d0.003_1grads_mean_r24_loralr0.0002_alpha16-lr0.0002-epochs1-wu20-seed42-14338;98.71562499999999;96.36627906976744;69.15993634932171
restart_7b-gsm8k-rosa_wl64_d0.006_1grads_mean_r16_loralr0.0003_alpha16-lr0.0003-epochs1-wu20-seed42-3798;97.4375;93.77725290697676;41.659231972706735
restart_7b-sql-rosa_wl64_d0.018_1grads_mean_r16_loralr0.0007_alpha16-lr0.0003-epochs1-wu20-seed42-23692;84.91875;82.29469476744185;27.910089874031005
restart_7b-sql-rosa_wl64_d0.0015_1grads_mean_r12_loralr0.0002_alpha16-lr0.0002-epochs1-wu20-seed42-6348;99.19687499999999;98.779296875;78.81839084706075
